"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Create Lead Modal","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Full E2E Conversion Pipeline","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","KPI Data Extraction","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Lead Submission","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Data Synchronization Validation","0"
"3","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Negative Validations","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Enquiry Creation API","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Form Population","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Lead Listing","0"
"4","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Negative Validations","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Dashboard Section Rendering","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","KPI Metrics Rendering","0"
"1","Lead Management","0","Create Lead Flow & Listing Verification","0","0","Listing Search & Verification","0"
"2","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Database State Verification","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Dashboard Landing & State","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Enquiry to Lead Conversion","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Interactive Navigation","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Enquiry Sanitization","0"
"1","Enquiry & Lead Conversion","0","Enquiry to Lead API Pipeline","0","0","Automated State Transition & Fallback","0"
"1","Dashboard & Analytics","0","KPI Metrics & Count Synchronization","0","0","Lead Listing Data Extraction","0"
