"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","681","8️⃣ Follow Up disposition selected successfully","chromium","2026-05-30","passed","2026-05-30","Create Lead with Demo Done Stage","latest_tests\demo_done.spec.js","",""
"","0","5️⃣ Select Today Date & Save Lead","chromium","2026-05-30","skipped","2026-05-30","Create Lead and Demo Schedule Flow","latest_tests\demo-schedule.spec.js","",""
"","583","6️⃣ Customer details entered successfully","chromium","2026-05-30","passed","2026-05-30","Support Ticket Update Flow","latest_tests\support-add-update-flow.spec.js","",""
"","956","6️⃣ Lead created successfully","chromium","2026-05-30","passed","2026-05-30","Create Lead with Demo Done Stage","latest_tests\demo_done.spec.js","",""
"","8","6️⃣ Lead created successfully and visible in listing","chromium","2026-05-30","passed","2026-05-30","Create Lead Flow","latest_tests\create-lead.spec.js","",""
"","38","2️⃣ Report page shows no errors or empty state","chromium","2026-05-30","passed","2026-05-30","Overall Summary Report Tests","latest_tests\view-report.smoke.spec.js","",""
"","0","4️⃣ Follow-up history popup opens","chromium","2026-05-30","skipped","2026-05-30","Create Lead and verify in listing + follow-up remarks","latest_tests\create-lead-and-verify.spec.js","",""
"","7362","Verify dashboard lead count matches lead listing","chromium","2026-05-30","passed","2026-05-30","","latest_tests\dashboard-and-listing-count-match.spec.js","",""
"","1788","9️⃣ Follow-up and closing dates selected successfully","chromium","2026-05-30","passed","2026-05-30","Create Lead with Demo Done Stage","latest_tests\demo_done.spec.js","",""
"","348","1️⃣ Open Lead Module","chromium","2026-05-30","passed","2026-05-30","Create Lead and Demo Schedule Flow","latest_tests\demo-schedule.spec.js","",""
"","1","1️⃣1️⃣ Dashboard opened successfully","chromium","2026-05-30","skipped","2026-05-30","Support Ticket Update Flow","latest_tests\support-add-update-flow.spec.js","",""
"","0","3️⃣ Update Stage to Demo Scheduled","chromium","2026-05-30","skipped","2026-05-30","Create Lead and Demo Schedule Flow","latest_tests\demo-schedule.spec.js","",""
"","1","9️⃣ Status selected successfully","chromium","2026-05-30","skipped","2026-05-30","Support Ticket Update Flow","latest_tests\support-add-update-flow.spec.js","",""
